function,parent,parent_plain,child,child_plain,fiscal_year,federal_spending,percent_total,spending_source_url,spending_source_url_name
agency,Legislative Branch,Legislative Branch,,,2021,5263121644,0.08,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,Senate,Senate,2021,1002170968,19.04,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,United States Tax Court,United States Tax Court,2021,55974690,1.06,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,Other Legislative Branch Agencies,Other Legislative Branch Agencies,2021,78149596,1.48,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,Proprietary Receipts from the Public,Revenue from Business-Type Activities,2021,-35534937,-0.68,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,Intrabudgetary Transactions,Budgetary Transactions Within the Agency,2021,-7407661,-0.14,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,Offsetting Governmental Receipts,Offsetting Revenue,2021,0,0,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,House of Representatives,House of Representatives,2021,1482614517,28.17,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,Joint Items,Joint Items,2021,25658767,0.49,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,Capitol Police,Capitol Police,2021,508936517,9.67,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,Congressional Budget Office,Congressional Budget Office,2021,56435228,1.07,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,Architect of the Capitol,Architect of the Capitol,2021,738666719,14.03,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,Library of Congress,Library of Congress,2021,719668871,13.67,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Legislative Branch,Legislative Branch,Government Publishing Office,Government Publishing Office,2021,5938448,0.11,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
