year,rate,min,max,filingStatus
2022,0.1,1,14650,headOfHousehold
2022,0.12,14651,55900,headOfHousehold
2022,0.22,55901,89050,headOfHousehold
2022,0.24,89051,170050,headOfHousehold
2022,0.32,170051,215950,headOfHousehold
2022,0.35,215951,539900,headOfHousehold
2022,0.37,539901,999999999999,headOfHousehold
2022,0.1,1,20550,marriedFilingJointly
2022,0.12,20551,83550,marriedFilingJointly
2022,0.22,83551,178150,marriedFilingJointly
2022,0.24,178151,340100,marriedFilingJointly
2022,0.32,340101,431900,marriedFilingJointly
2022,0.35,431901,647850,marriedFilingJointly
2022,0.37,647851,999999999999,marriedFilingJointly
2022,0.1,1,10275,single
2022,0.12,10276,41775,single
2022,0.22,41776,89075,single
2022,0.24,89076,170050,single
2022,0.32,170051,215950,single
2022,0.35,215951,539900,single
2022,0.37,539901,999999999999,single
2022,0.1,1,10275,marriedFilingSeparately
2022,0.12,10276,41775,marriedFilingSeparately
2022,0.22,41776,89075,marriedFilingSeparately
2022,0.24,89076,170050,marriedFilingSeparately
2022,0.32,170051,215950,marriedFilingSeparately
2022,0.35,215951,323925,marriedFilingSeparately
2022,0.37,323926,999999999999,marriedFilingSeparately
