"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Filing Status, Tax Year 2019 (Filing Year 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(All figures are estimates based on samples—money amounts are in thousands of dollars)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Size of adjusted
gross income","All returns",,,,,,,,,,,,"Returns of married persons filing jointly and returns of surviving spouses",,,,,,,,,,,,"Returns of married persons filing separately",,,,,,,,,,,,"Returns of heads of households",,,,,,,,,,,,"Returns of single persons",,,,,,,,,,,,,
,"Number
of
returns","Adjusted
gross income
less
deficit","Total itemized deductions",,"Standard deduction",,"Taxable income",,"Income tax after credits",,"Total income tax",,"Number
of
returns","Adjusted
gross income
less
deficit","Total itemized deductions",,"Standard deduction",,"Taxable income",,"Income tax after credits",,"Total income tax",,"Number
of
returns","Adjusted
gross income
less
deficit","Total itemized deductions",,"Standard deduction",,"Taxable income",,"Income tax after credits",,"Total income tax",,"Number
of
returns","Adjusted
gross income
less
deficit","Total itemized deductions",,"Standard deduction",,"Taxable income",,"Income tax after credits",,"Total income tax",,"Number
of
returns","Adjusted
gross income
less
deficit","Total itemized deductions",,"Standard deduction",,"Taxable income",,"Income tax after credits",,"Total income tax",,,
,,,"Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount",,,"Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount",,,"Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount",,,"Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount",,,"Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount","Number
of
returns","Amount",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),,
"All returns, total","157,796,807","11,966,873,976","17,348,989","645,102,704","138,307,604","2,354,080,109","124,143,848","9,226,944,218","103,985,756","1,553,106,552","104,005,800","1,581,352,160","54,796,116","7,608,793,565","8,375,661","396,580,680","45,780,122","1,141,552,067","48,528,551","6,160,092,494","42,216,263","1,083,085,105","42,226,483","1,104,210,071","3,719,351","247,492,815","535,732","16,368,927","3,068,508","37,119,417","3,176,778","208,137,681","2,933,501","37,151,880","2,938,446","38,355,362","21,663,339","944,976,815","1,386,576","41,985,504","20,176,756","369,293,016","16,409,676","566,729,043","7,345,268","61,955,424","7,347,508","62,624,519","77,618,002","3,165,610,781","7,051,020","190,167,593","69,282,219","806,115,609","56,028,843","2,291,985,001","51,490,725","370,914,143","51,493,363","376,162,208",,
"   No adjusted gross income","2,127,500","-237,064,231",0,0,0,0,0,0,"2,685","240,701","2,698","241,873","639,225","-151,140,282",0,0,0,0,0,0,"1,478","86,774","1,485","87,492","108,654","-15,577,172",0,0,0,0,0,0,197,"8,692",197,"8,720","96,852","-7,215,984",0,0,0,0,0,0,136,"2,887",136,"2,887","1,282,770","-63,130,793",0,0,0,0,0,0,875,"142,349",879,"142,775",,
"   $1 under $5,000","9,866,880","24,439,988","85,653","1,787,104","9,780,224","97,072,938","278,981","319,619","137,525","11,660","137,525","11,660","687,561","1,533,197","11,479","380,396","676,082","17,162,107",0,0,"** 3,013",** 878,"** 3,021",** 905,"163,957","347,483","5,229","38,656","157,726","1,855,810","* 2,014",* 964,"** 210,882","** 87,436","** 211,912","** 87,765","462,964","1,266,862","5,066","46,342","457,898","8,353,885","* 3,009","* 4,663","** 13,289","** 2,779","** 13,295","** 2,872","8,552,398","21,292,445","63,880","1,321,710","8,488,518","69,701,136","273,959","313,992","135,516","11,181","135,516","11,181",,
